Bin,RV32,RV64
zero,`00000000000000000000000000000000`,`0000000000000000000000000000000000000000000000000000000000000000`
one,`00000000000000000000000000000001`,`0000000000000000000000000000000000000000000000000000000000000001`
two,`00000000000000000000000000000010`,`0000000000000000000000000000000000000000000000000000000000000010`
min,`10000000000000000000000000000000`,`1000000000000000000000000000000000000000000000000000000000000000`
minp1,`10000000000000000000000000000001`,`1000000000000000000000000000000000000000000000000000000000000001`
max,`01111111111111111111111111111111`,`0111111111111111111111111111111111111111111111111111111111111111`
maxm1,`01111111111111111111111111111110`,`0111111111111111111111111111111111111111111111111111111111111110`
ones,`11111111111111111111111111111111`,`1111111111111111111111111111111111111111111111111111111111111111`
onesm1,`11111111111111111111111111111110`,`1111111111111111111111111111111111111111111111111111111111111110`
walkeodd,`10101010101010101010101010101010`,`1010101010101010101010101010101010101010101010101010101010101010`
walkeven,`01010101010101010101010101010101`,`0101010101010101010101010101010101010101010101010101010101010101`
random,`01???????????????????????????010`,`01???????????????????????????????????????????????????????????010`
Wmax,n/a,`0000000000000000000000000000000011111111111111111111111111111111`
Wmaxm1,n/a,`0000000000000000000000000000000011111111111111111111111111111110`
Wmaxp1,n/a,`0000000000000000000000000000000100000000000000000000000000000000`
Wmaxp2,n/a,`0000000000000000000000000000000100000000000000000000000000000001`
