Instruction,Type,cp_asm_count,cp_rd,cp_rs1,cp_rs2,cmp_rd_rs1_eqval,cmp_rd_rs2_eqval,cmp_rs1_rs2_eqval,cp_gpr_hazard,cp_rd_corners,cp_rs1_corners,cp_rs2_corners,cr_rs1_rs2_corners,cmp_rd_rs1,cmp_rd_rs2,cmp_rd_rs1_rs2,cmp_rs1_rs2,cp_rd_sign,cp_rs1_sign,cp_rs2_sign,cr_rs1_rs2_sign,cp_offset,cp_imm_sign,cr_rs1_imm,cp_rd_toggle,cp_rs1_toggle,cp_rs2_toggle,cp_imm_ones_zeros,cp_imm_zero,cp_memhazard,cp_memunaligned,cp_rd_boolean,cp_imm_shift,cp_rdp,cp_rs2p,cp_rs1p,cp_fdp,cp_fs2p,cr_rs1_imm_corners,cp_bs,cp_rnum,cp_sc,cbo***,cp_csr_fflags,cp_csr_frm,cp_fs1_corners,cp_fs2_corners,cp_fs3_corners,cp_frm,cr_fs1_fs2_frm_corners,cr_fs1_fs3_frm_corners,cp_fclass,cp_fd,cp_rs1_nx0,cp_fmemhazard,cp_fd_toggle
fmadd.s,FR4,x,x,x,x,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,,,,,
fmsub.s,FR4,x,x,x,x,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,,,,,
fnmsub.s,FR4,x,x,x,x,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,,,,,
fnmadd.s,FR4,x,x,x,x,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,,,,,
fadd.s,FR,x,x,x,x,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,,x,x,,,,,,
fsub.s,FR,x,x,x,x,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,,x,x,,,,,,
fmul.s,FR,x,x,x,x,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,,x,x,,,,,,
fdiv.s,FR,x,x,x,x,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,,x,x,,,,,,
fsqrt.s,FI,x,x,x,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,
fsgnj.s,FR,x,x,x,x,,,,,,,,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,,,,,,,,,
fsgnjn.s,FR,x,x,x,x,,,,,,,,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,,,,,,,,,
fsgnjx.s,FR,x,x,x,x,,,,,,,,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,,,,,,,,,
fmin.s,FR,x,x,x,x,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,,x,x,,,,,,
fmax.s,FR,x,x,x,x,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,,x,x,,,,,,
feq.s,FC,x,x,x,x,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,x,x,,x,x,,,,,,
flt.s,FC,x,x,x,x,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,x,x,,x,x,,,,,,
fle.s,FC,x,x,x,x,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,x,x,,x,x,,,,,,
fclass.s,FI,x,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,x,,,,
flw,FL,x,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x
fsw,FS,x,,x,x,,,,,,,x,,,,,,,,,,,x,,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
fcvt.w.s,F2X,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,x,,,,,,,
fcvt.wu.s,F2X,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,x,,,,,,,
fcvt.s.w,X2F,x,x,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,x,,,,,,,
fcvt.s.wu,X2F,x,x,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,x,,,,,,,
fmv.x.w,F2X,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
fmv.w.x,X2F,x,x,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
